"id","category","sortorder","fullname","shortname","idnumber","summary","summaryformat","format","showgrades","newsitems","startdate","enddate","relativedatesmode","marker","maxbytes","legacyfiles","showreports","visible","visibleold","downloadcontent","groupmode","groupmodeforce","defaultgroupingid","lang","calendartype","theme","timecreated","timemodified","requested","enablecompletion","completionnotify","cacherev","originalcourseid","showactivitydates","showcompletionconditions"
"1","0","1","my moodle site","my moodle site",,,"0","site","1","3","0","0","0","0","0","0","0","1","1",NULL,"0","0","0",,,,"1660458971","1660460006","0","0","0","1661154376",NULL,"0",NULL
"2","1","10001","12th","12",,"<p dir=""ltr"" style=""text-align: left;"">This course is made by Ranvir Singh<br></p>","1","topics","1","3","1660521600","1692057600","0","0","2097152","0","1","1","1",NULL,"0","0","0","en",,,"1660489971","1660491844","0","1","0","1661940529",NULL,"1","1"
"3","2","20002","Machine Learning ","ML","4627839","<p dir=""ltr"" style=""text-align: left;"">This is the machine learning course.<br></p>","1","topics","1","5","1661990400","1693526400","0","0","0","0","0","1","1",NULL,"0","0","0",,,,"1661926460","1662010517","0","1","0","1662180256",NULL,"1","1"
"4","2","20001","11th","11",,,"1","topics","1","5","1662249600","1693785600","0","0","0","0","0","1","1",NULL,"0","0","0",,,,"1662180745","1662180745","0","1","0","1662180841",NULL,"1","1"
